A,1,0,1,1,1,0
A,2,1,1,1,1,1
A,3,1,0,0,0,1
A,4,1,0,0,0,1
A,5,1,1,1,1,1
A,6,1,1,1,1,1
A,7,1,0,0,0,1
A,8,1,0,0,0,1
B,1,1,1,1,1,0
B,2,1,0,0,0,1
B,3,1,0,0,0,1
B,4,1,1,1,1,0
B,5,1,1,1,1,0
B,6,1,0,0,0,1
B,7,1,0,0,0,1
B,8,1,1,1,1,0
C,1,0,1,1,1,0
C,2,1,0,0,0,1
C,3,1,0,0,0,1
C,4,1,0,0,0,0
C,5,1,0,0,0,0
C,6,1,0,0,0,1
C,7,1,0,0,0,1
C,8,0,1,1,1,0
D,1,1,1,1,1,0
D,2,1,0,0,0,1
D,3,1,0,0,0,1
D,4,1,0,0,0,1
D,5,1,0,0,0,1
D,6,1,0,0,0,1
D,7,1,0,0,0,1
D,8,1,1,1,1,0
E,1,1,1,1,1,1
E,2,1,0,0,0,0
E,3,1,0,0,0,0
E,4,1,0,0,0,0
E,5,1,1,1,1,1
E,6,1,0,0,0,0
E,7,1,0,0,0,0
E,8,1,1,1,1,1
F,1,1,1,1,1,1
F,2,1,0,0,0,0
F,3,1,0,0,0,0
F,4,1,0,0,0,0
F,5,1,1,1,1,1
F,6,1,0,0,0,0
F,7,1,0,0,0,0
F,8,1,0,0,0,0
G,1,0,1,1,1,0
G,2,1,0,0,0,1
G,3,1,0,0,0,1
G,4,1,0,0,0,0
G,5,1,0,0,1,1
G,6,1,0,0,0,1
G,7,1,0,0,0,1
G,8,0,1,1,1,0
H,1,1,0,0,0,1
H,2,1,0,0,0,1
H,3,1,0,0,0,1
H,4,1,0,0,0,1
H,5,1,1,1,1,1
H,6,1,0,0,0,1
H,7,1,0,0,0,1
H,8,1,0,0,0,1
I,1,1,1,1,1,1
I,2,0,1,1,0,0
I,3,0,1,1,0,0
I,4,0,1,1,0,0
I,5,0,1,1,0,0
I,6,0,1,1,0,0
I,7,0,1,1,0,0
I,8,1,1,1,1,1
J,1,1,1,1,1,1
J,2,0,0,0,1,0
J,3,0,0,0,1,0
J,4,0,0,0,1,0
J,5,0,0,0,1,0
J,6,1,0,0,1,0
J,7,1,0,0,1,0
J,8,0,1,1,0,0
K,1,1,0,0,0,1
K,2,1,0,0,1,0
K,3,1,0,1,0,0
K,4,1,1,0,0,0
K,5,1,1,0,0,0
K,6,1,0,1,0,0
K,7,1,0,0,1,0
K,8,1,0,0,0,1
L,1,1,0,0,0,0
L,2,1,0,0,0,0
L,3,1,0,0,0,0
L,4,1,0,0,0,0
L,5,1,0,0,0,0
L,6,1,0,0,0,0
L,7,1,0,0,0,0
L,8,1,1,1,1,1
M,1,1,0,0,0,1
M,2,1,1,0,1,1
M,3,1,0,1,0,1
M,4,1,0,1,0,1
M,5,1,0,0,0,1
M,6,1,0,0,0,1
M,7,1,0,0,0,1
M,8,1,0,0,0,1
N,1,1,0,0,0,1
N,2,1,0,0,0,1
N,3,1,1,0,0,1
N,4,1,1,1,0,1
N,5,1,0,1,1,1
N,6,1,0,0,1,1
N,7,1,0,0,1,1
N,8,1,0,0,0,1
O,1,0,1,1,1,0
O,2,1,0,0,0,1
O,3,1,0,0,0,1
O,4,1,0,0,0,1
O,5,1,0,0,0,1
O,6,1,0,0,0,1
O,7,1,0,0,0,1
O,8,0,1,1,1,0
P,1,1,1,1,1,0
P,2,1,0,0,0,1
P,3,1,0,0,0,1
P,4,1,0,0,0,1
P,5,1,1,1,1,0
P,6,1,0,0,0,0
P,7,1,0,0,0,0
P,8,1,0,0,0,0
Q,1,0,1,1,1,0
Q,2,1,0,0,0,1
Q,3,1,0,0,0,1
Q,4,1,0,0,0,1
Q,5,1,0,0,0,1
Q,6,1,0,1,0,1
Q,7,1,0,0,1,0
Q,8,0,1,1,0,1
R,1,1,1,1,1,0
R,2,1,0,0,0,1
R,3,1,0,0,0,1
R,4,1,0,0,0,1
R,5,1,1,1,1,0
R,6,1,0,1,0,0
R,7,1,0,0,1,0
R,8,1,0,0,0,1
S,1,0,1,1,1,0
S,2,1,0,0,0,1
S,3,1,0,0,0,0
S,4,1,0,0,0,0
S,5,1,1,1,1,0
S,6,0,0,0,0,1
S,7,1,0,0,0,1
S,8,1,1,1,1,0
T,1,1,1,1,1,1
T,2,0,0,1,0,0
T,3,0,0,1,0,0
T,4,0,0,1,0,0
T,5,0,0,1,0,0
T,6,0,0,1,0,0
T,7,0,0,1,0,0
T,8,0,0,1,0,0
U,1,1,0,0,0,1
U,2,1,0,0,0,1
U,3,1,0,0,0,1
U,4,1,0,0,0,1
U,5,1,0,0,0,1
U,6,1,0,0,0,1
U,7,1,0,0,0,1
U,8,0,1,1,1,0
V,1,1,0,0,0,1
V,2,1,0,0,0,1
V,3,1,0,0,0,1
V,4,1,0,0,0,1
V,5,1,0,0,0,1
V,6,1,0,0,0,1
V,7,0,1,0,1,0
V,8,0,0,1,0,0
W,1,1,0,0,0,1
W,2,1,0,0,0,1
W,3,1,0,0,0,1
W,4,1,0,0,0,1
W,5,1,0,1,0,1
W,6,1,0,1,0,1
W,7,1,1,0,1,1
W,8,1,0,0,0,1
X,1,1,0,0,0,1
X,2,0,1,0,1,0
X,3,0,1,0,1,0
X,4,0,0,1,0,0
X,5,0,0,1,0,0
X,6,0,1,1,1,0
X,7,0,1,0,1,0
X,8,1,0,0,0,1
Y,1,1,0,0,0,1
Y,2,1,0,0,0,1
Y,3,1,0,0,0,1
Y,4,0,1,0,1,0
Y,5,0,0,1,0,0
Y,6,0,0,1,0,0
Y,7,0,0,1,0,0
Y,8,0,0,1,0,0
Z,1,1,1,1,1,1
Z,2,0,0,0,0,1
Z,3,0,0,0,1,0
Z,4,0,0,1,0,0
Z,5,0,1,0,0,0
Z,6,1,0,0,0,0
Z,7,1,0,0,0,0
Z,8,1,1,1,1,1
0,1,0,1,1,1,0
0,2,1,1,0,0,1
0,3,1,0,1,0,1
0,4,1,0,1,0,1
0,5,1,0,1,0,1
0,6,1,0,0,1,1
0,7,1,0,0,0,1
0,8,0,1,1,1,0
1,1,0,1,0,0,0
1,2,1,0,1,0,0
1,3,1,0,1,0,0
1,4,0,0,1,0,0
1,5,0,0,1,0,0
1,6,0,0,1,0,0
1,7,0,0,1,0,0
1,8,1,1,1,1,1
2,1,0,1,1,1,0
2,2,1,0,0,0,1
2,3,1,0,0,0,1
2,4,0,0,0,1,0
2,5,0,0,1,0,0
2,6,0,1,0,0,0
2,7,1,0,0,0,0
2,8,1,1,1,1,1
3,1,0,1,1,1,0
3,2,1,0,0,0,1
3,3,0,0,0,0,1
3,4,0,0,0,0,1
3,5,0,1,1,1,1
3,6,0,0,0,0,1
3,7,1,0,0,0,1
3,8,0,1,1,1,0
4,1,0,0,0,1,0
4,2,0,0,1,1,0
4,3,0,1,0,1,0
4,4,1,0,0,1,0
